Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Nop Commerce Project,Chrome 66.0.3359.181,,2018-05-24 14:20:52,2018-05-24 14:23:53,3m - 0.803s,PASSED
,,,,,,
Test Cases/Registration/verify_User Registration,Chrome 66.0.3359.181,,2018-05-24 14:20:54,2018-05-24 14:21:18,24.527s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:20:55,2018-05-24 14:21:06,10.414s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:21:06,2018-05-24 14:21:07,1.409s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:07,2018-05-24 14:21:10,2.661s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:10,2018-05-24 14:21:10,0.229s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:21:10,2018-05-24 14:21:10,0.415s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:21:10,2018-05-24 14:21:11,0.336s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:11,2018-05-24 14:21:11,0.155s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:11,2018-05-24 14:21:11,0.141s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:11,2018-05-24 14:21:11,0.166s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:21:11,2018-05-24 14:21:12,0.509s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:21:12,2018-05-24 14:21:12,0.776s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:21:12,2018-05-24 14:21:13,0.330s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:21:13,2018-05-24 14:21:13,0.336s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:13,2018-05-24 14:21:15,2.068s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:15,2018-05-24 14:21:18,2.820s,PASSED
,,,,,,
Test Cases/Login/verify_Login,Chrome 66.0.3359.181,,2018-05-24 14:21:18,2018-05-24 14:21:34,16.251s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:21:19,2018-05-24 14:21:27,8.563s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:21:27,2018-05-24 14:21:29,1.155s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:29,2018-05-24 14:21:31,2.223s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:21:31,2018-05-24 14:21:31,0.431s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:21:31,2018-05-24 14:21:32,0.396s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:32,2018-05-24 14:21:34,2.603s,PASSED
,,,,,,
Test Cases/Adding Nokia Lomia To Cart/verify add Nokia Lumia To Cart,Chrome 66.0.3359.181,,2018-05-24 14:21:34,2018-05-24 14:21:55,20.335s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:21:35,2018-05-24 14:21:50,15.109s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:21:50,2018-05-24 14:21:50,0.493s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:50,2018-05-24 14:21:52,1.345s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 14:21:52,2018-05-24 14:21:54,2.020s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:54,2018-05-24 14:21:54,0.219s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-24 14:21:54,2018-05-24 14:21:55,0.666s,PASSED
,,,,,,
Test Cases/Verify Add Flower Girl Bracelet To Cart/verify Add Flower Bracelet To cart,Chrome 66.0.3359.181,,2018-05-24 14:21:55,2018-05-24 14:22:18,23.759s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:21:55,2018-05-24 14:22:10,14.725s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:22:10,2018-05-24 14:22:11,0.561s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:22:11,2018-05-24 14:22:13,1.879s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:22:13,2018-05-24 14:22:18,5.626s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:22:18,2018-05-24 14:22:18,0.231s,PASSED
,,,,,,
Test Cases/Verify Remove Nokia Lumia From Cart/Verify Remove Nokia Lumia From Cart,Chrome 66.0.3359.181,,2018-05-24 14:22:18,2018-05-24 14:22:39,20.167s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:22:19,2018-05-24 14:22:35,15.402s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:22:35,2018-05-24 14:22:37,2.170s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:22:37,2018-05-24 14:22:37,0.184s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:22:37,2018-05-24 14:22:39,1.648s,PASSED
,,,,,,
Test Cases/Negative Scenarios On The Site/validate_Wrong Email Correct Password,Chrome 66.0.3359.181,,2018-05-24 14:22:39,2018-05-24 14:22:54,15.876s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:22:39,2018-05-24 14:22:48,9.028s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:22:48,2018-05-24 14:22:49,1.170s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:22:49,2018-05-24 14:22:52,2.972s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:22:52,2018-05-24 14:22:53,0.427s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:22:53,2018-05-24 14:22:53,0.349s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:22:53,2018-05-24 14:22:54,1.451s,PASSED
,,,,,,
Test Cases/Check Out/verify_Checkout,Chrome 66.0.3359.181,,2018-05-24 14:22:54,2018-05-24 14:23:35,40.133s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:22:55,2018-05-24 14:23:11,15.345s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 14:23:11,2018-05-24 14:23:14,3.003s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:14,2018-05-24 14:23:15,1.773s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:15,2018-05-24 14:23:16,0.198s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:16,2018-05-24 14:23:16,0.233s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:23:16,2018-05-24 14:23:17,0.837s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:17,2018-05-24 14:23:17,0.177s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:17,2018-05-24 14:23:23,5.906s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:23,2018-05-24 14:23:23,0.138s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-24 14:23:23,2018-05-24 14:23:25,2.002s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:23:25,2018-05-24 14:23:25,0.559s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:23:25,2018-05-24 14:23:26,0.365s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:23:26,2018-05-24 14:23:26,0.383s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:23:26,2018-05-24 14:23:27,0.319s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:23:27,2018-05-24 14:23:27,0.398s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:23:27,2018-05-24 14:23:27,0.393s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:27,2018-05-24 14:23:28,0.179s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:28,2018-05-24 14:23:29,1.786s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:29,2018-05-24 14:23:29,0.152s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:29,2018-05-24 14:23:31,1.719s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:31,2018-05-24 14:23:31,0.161s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:31,2018-05-24 14:23:33,1.718s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:23:33,2018-05-24 14:23:33,0.389s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:23:33,2018-05-24 14:23:34,0.398s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:34,2018-05-24 14:23:34,0.155s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:23:34,2018-05-24 14:23:34,0.139s,PASSED
